noise,sigma_std,phi_mean,phi_sd,chi_seed,tempvar,ar1,frac_lo,frac_hi,n
0.3,0.0,0.9902581909680984,0.0008962455496997477,0.00016065121707132057,2.4836304547946202e-5,0.9739338382475371,0.0,0.0,20
0.3,0.025,0.9903497683424559,0.0008305010165724209,0.00013794638770556493,2.290382600959096e-5,0.9744158525858275,0.0,0.0,20
0.3,0.05,0.9902239579576365,0.000906907460645709,0.00016449622843496965,2.5603298850589107e-5,0.9754028317014101,0.0,0.015250000000000005,20
0.3,0.075,0.9900427912784359,0.0008907298675340089,0.00015867993938343058,2.2403669972799168e-5,0.9714135643014703,0.0,0.094,20
0.3,0.1,0.9902280764301231,0.0008478056719430409,0.0001437548914757582,2.193751533371618e-5,0.9717575896070677,0.0,0.174,20
0.3,0.125,0.9898892143048382,0.0009961726310142478,0.0001984719821563698,2.5730195845393663e-5,0.9758312468188672,0.00025,0.22925,20
0.3,0.15,0.989509528019977,0.0012267610165634425,0.00030098851835195416,3.426696281935743e-5,0.9768717152381796,0.00125,0.2872499999999999,20
0.3,0.175,0.9894400451096843,0.0009386322364275422,0.00017620609505219389,2.9848740972742842e-5,0.9754947135694474,0.0055,0.33324999999999994,20
0.3,0.2,0.9880132146129157,0.0015375639055839594,0.00047282055275091973,4.538917762499884e-5,0.9821050266940918,0.0175,0.35574999999999996,20
0.3,0.225,0.9872024903362749,0.0017847840820214014,0.0006370908438873952,6.498731046728952e-5,0.9833739096550449,0.028500000000000008,0.40424999999999994,20
0.3,0.25,0.9827518392344287,0.004234811695535257,0.00358672601932844,0.00017508240714775178,0.9901323786627593,0.052000000000000005,0.4385,20
0.3,0.275,0.9751406008368472,0.008270326704527473,0.013679660759924047,0.00048727951035405824,0.9948689717258363,0.07425000000000001,0.4675000000000001,20
0.3,0.3,0.9672436450856965,0.011087769211888225,0.02458772521921929,0.000958250806510405,0.9968031427656069,0.09125000000000001,0.5202500000000001,20
0.3,0.325,0.9470574623522093,0.01427707342308213,0.040766965105615616,0.0020783867208024323,0.9980409676400761,0.1145,0.5509999999999999,20
0.3,0.35,0.9173344345159844,0.02018538511108664,0.08148995441657562,0.003492430640208414,0.998469461302028,0.14800000000000002,0.5762500000000002,20
0.3,0.375,0.8616600027019556,0.0279117705881132,0.1558133874726922,0.007990385446669395,0.9989477849477787,0.187,0.606,20
0.3,0.4,0.797760558759827,0.03536635634873865,0.2501558322771933,0.01032852421846962,0.9989265136165792,0.22574999999999998,0.6275,20
0.3,0.425,0.7147260223589706,0.05195976381538178,0.5399634111500515,0.015467702622815748,0.999019686394005,0.25100000000000006,0.6662499999999999,20
0.3,0.45,0.6028728384111117,0.04128536440778164,0.3408962628566646,0.019937155011063683,0.998968998791883,0.30000000000000004,0.6779999999999999,20
0.5,0.0,0.9737586505428533,0.002294027410000909,0.0010525123515670956,0.0001782693201866005,0.9759539902498846,0.0,0.0,20
0.5,0.025,0.9742377199696731,0.0019077052683688662,0.0007278678781924656,0.00017462628238445603,0.975130849974232,0.0,0.0,20
0.5,0.05,0.9736318602366033,0.002452729680962819,0.0012031765775751943,0.00017793932776968146,0.9751878095086877,0.0,0.015250000000000005,20
0.5,0.075,0.9717437480995732,0.0019235282200442299,0.0007399921626613048,0.00022557738614559851,0.979203034907641,0.0,0.094,20
0.5,0.1,0.9722267791671957,0.002495193183018866,0.001245197804116764,0.00019057877618888278,0.975695514009508,0.0,0.174,20
0.5,0.125,0.9725370575768946,0.002343782761882971,0.0010986635269799535,0.00018078588704745723,0.975487922808923,0.00025,0.22925,20
0.5,0.15,0.9722016741425333,0.001819623420384084,0.0006622058784020545,0.00019627456407372168,0.9775791043183407,0.00125,0.2872499999999999,20
0.5,0.175,0.9698521266671593,0.001642778665810033,0.0005397443489681185,0.0002476490558158663,0.9791567779879575,0.0055,0.33324999999999994,20
0.5,0.2,0.9673982560047507,0.0022395613163119833,0.0010031269779042127,0.00029760826342878187,0.9820983506411857,0.0175,0.35574999999999996,20
0.5,0.225,0.9636291231880068,0.00396745735358336,0.0031481435705005356,0.0004063859761840484,0.9837886164496412,0.028500000000000008,0.40424999999999994,20
0.5,0.25,0.9565647726445551,0.009744984656252382,0.01899294519011887,0.0008892265818815665,0.9905931623364097,0.052000000000000005,0.4385,20
0.5,0.275,0.9427817986239546,0.010969969119916045,0.024068044498382322,0.0017424426330878693,0.9938635046174872,0.07425000000000001,0.4675000000000001,20
0.5,0.3,0.926902171884611,0.01546154670149577,0.04781188528050695,0.0028760973994594445,0.9954444122111985,0.09125000000000001,0.5202500000000001,20
0.5,0.325,0.8980018368426312,0.019583747583920414,0.07670463388614174,0.005254333909632076,0.9965505630008789,0.1145,0.5509999999999999,20
0.5,0.35,0.8558636805632904,0.02244433955698558,0.10074967562985354,0.008713732080297156,0.997771862953968,0.14800000000000002,0.5762500000000002,20
0.5,0.375,0.7950175244690152,0.03568148664919107,0.2546336978992801,0.014436078242538874,0.9983000586153686,0.187,0.606,20
0.5,0.4,0.7382740644193794,0.0403693498372627,0.3259368812566604,0.015674766007996686,0.9981036686656987,0.22574999999999998,0.6275,20
0.5,0.425,0.675049517285821,0.03478024076364647,0.24193302951544313,0.017213454928915618,0.9981014296406956,0.25100000000000006,0.6662499999999999,20
0.5,0.45,0.5727486518378843,0.03907423307414316,0.30535913806649256,0.018585132655810018,0.9974151283426282,0.30000000000000004,0.6779999999999999,20
0.7,0.0,0.9474962173333662,0.0032821206639049427,0.0021544632104863646,0.00065338292334298,0.9760283582513429,0.0,0.0,20
0.7,0.025,0.9481882352621425,0.0032793323478172765,0.0021508041294881542,0.0007406117767206118,0.9785963286935985,0.0,0.0,20
0.7,0.05,0.9479873461987843,0.0027280061345723557,0.0014884034940528814,0.0006903489895996402,0.9781102065824022,0.0,0.015250000000000005,20
0.7,0.075,0.9492531399352352,0.0036187684684412594,0.00261909704563694,0.0006055969119748365,0.9762495284481718,0.0,0.094,20
0.7,0.1,0.9469345975550885,0.003943092497045567,0.003109595688051409,0.0006441702752847133,0.9762422670518672,0.0,0.174,20
0.7,0.125,0.9460382270301284,0.003973108896174638,0.0031571188601724107,0.0007935932864777612,0.9777507585254603,0.00025,0.22925,20
0.7,0.15,0.9450841585206063,0.003234577419477789,0.002092498216519119,0.0008007443899104624,0.9792092998356401,0.00125,0.2872499999999999,20
0.7,0.175,0.9416416442652615,0.005170110867107548,0.005346009275636714,0.0009244891301910833,0.9801995337761739,0.0055,0.33324999999999994,20
0.7,0.2,0.9365721402422258,0.003592849287260268,0.002581713200193323,0.0011467685550721315,0.9832813189051979,0.0175,0.35574999999999996,20
0.7,0.225,0.9304750964259687,0.006876606518558904,0.009457543442217362,0.001473509730775486,0.9856679117281202,0.028500000000000008,0.40424999999999994,20
0.7,0.25,0.9190895702777901,0.009443941431903722,0.017837605953845544,0.002363440279574423,0.9893195497750596,0.052000000000000005,0.4385,20
0.7,0.275,0.9040170178034195,0.012654371044898728,0.03202662130839427,0.003401755785664584,0.9917880474273264,0.07425000000000001,0.4675000000000001,20
0.7,0.3,0.8780906431482375,0.02062352714308125,0.08506597436428182,0.005846882053629784,0.9938599714771321,0.09125000000000001,0.5202500000000001,20
0.7,0.325,0.8407885736023836,0.027235296494703427,0.14835227503088094,0.0098338885816604,0.9958495188538642,0.1145,0.5509999999999999,20
0.7,0.35,0.8015594632507689,0.02880747241798518,0.1659740934225954,0.012160587732197567,0.9962080415142369,0.14800000000000002,0.5762500000000002,20
0.7,0.375,0.7463512734470312,0.03206388228589929,0.20561850944880133,0.01506172993329227,0.9964390087684988,0.187,0.606,20
0.7,0.4,0.6853923457683344,0.04032429022665997,0.32520967645678095,0.01828615003211656,0.9965500977161021,0.22574999999999998,0.6275,20
0.7,0.425,0.623928055104169,0.040218395022600044,0.32350385963878,0.018941759479004023,0.9959921704228831,0.25100000000000006,0.6662499999999999,20
0.7,0.45,0.539602047930243,0.04267338479438113,0.36420355396186377,0.02030996286468297,0.9954655659600675,0.30000000000000004,0.6779999999999999,20
