sigma_std,noise,seed,phi,phi_tempvar,ar1,real_mean,real_std,frac_lo,frac_hi
0.0,0.3,1,0.989544200422226,3.257057302122373e-5,0.9813849460091897,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,2,0.9903999385055926,1.5804733277052105e-5,0.9657594932528218,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,3,0.9892484968910719,3.351435424615522e-5,0.9812850624327354,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,4,0.9907578528555345,1.9961480204115662e-5,0.975118539474628,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,5,0.9896404405226157,2.042604297245569e-5,0.9705759627022305,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,6,0.9914216190023999,1.4132695227735629e-5,0.968461583958605,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,7,0.9905387628584649,1.456433978770658e-5,0.964513800401746,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,8,0.9900990533218724,1.5896444972655736e-5,0.9645845960787495,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,9,0.989542221040406,2.1063443411960586e-5,0.9713311213593673,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,10,0.9910657073906655,3.431284430418808e-5,0.9866850933539352,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,11,0.9890423769936224,2.7657704532539577e-5,0.9772487246690417,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,12,0.9908020116386057,2.788045524527722e-5,0.9816525669796861,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,13,0.9903777952550207,1.891811624246909e-5,0.9716285163532615,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,14,0.9897556953618682,2.1921641202608047e-5,0.9734077897361497,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,15,0.9883894195598327,9.099061935065561e-5,0.992277821595383,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,16,0.9902106056591934,2.5389165623407154e-5,0.9787484331597934,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,17,0.990823017513605,1.21576458233402e-5,0.9582771669761359,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,18,0.9911529781484903,1.3068419476877893e-5,0.9655218433380961,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,19,0.9901462821635848,2.0941707398724713e-5,0.9733277141726756,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.3,20,0.9922053442572977,1.5553664637775492e-5,0.9768859889465086,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,1,0.9696358536694205,0.0002886443660302391,0.9836877156524215,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,2,0.9730357043311585,0.00022321268910319077,0.9826277728894415,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,3,0.972655556354275,0.0002594484144534334,0.9844588559808233,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,4,0.9734816717169156,0.0002088151786053049,0.9812301125979774,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,5,0.9733397684823581,0.0001901724008930825,0.9794932248381507,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,6,0.9705408005745334,0.000211915465873693,0.9783945947745262,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,7,0.9730980829159288,0.00018007359473051779,0.9778596209032475,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,8,0.976950923676593,8.400753360762773e-5,0.9627756468560709,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,9,0.9704065591520715,0.00021632418328213987,0.9789961828167956,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,10,0.9740355497085151,0.00014936610038112556,0.9748917543721555,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,11,0.9752877010814445,0.0001434999116198138,0.9760691255990557,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,12,0.9734236397261273,0.0001290769918011624,0.9696724206389354,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,13,0.9756143257912795,0.00011873945375033263,0.9712937913714222,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,14,0.9750879988875669,0.00014740426955511116,0.9767889156258199,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,15,0.9773984044487045,7.400603302185859e-5,0.9584457914785984,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,16,0.9734997799553542,0.00018816488018116485,0.9789638380439004,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,17,0.9728368643160596,0.00014887077013353667,0.9724879783803635,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,18,0.9761262530487497,9.067016367327926e-5,0.9641528918476819,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,19,0.9775645282737484,0.00012531633295218656,0.9782095264572402,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.5,20,0.9711530447462595,0.0003876576700832103,0.9885800438730603,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,1,0.9475567096299454,0.0005095526631316552,0.9724751163287748,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,2,0.947065174590845,0.0006325907944677334,0.9774957115572903,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,3,0.9515274358813288,0.0005494266950929501,0.9769137709365648,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,4,0.9438556355633025,0.0008068046575297771,0.9801858501755578,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,5,0.9476663843101366,0.0007312792563757253,0.9807409935186141,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,6,0.9489376019062984,0.0006121131949683407,0.9780971375556262,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,7,0.9379729681524884,0.0014667022996498501,0.9878376429750335,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,8,0.9505656490294699,0.0004352375382341632,0.9698788519639161,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,9,0.9496393908578988,0.00041373520938222134,0.9677061758092032,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,10,0.9484809525911121,0.0006490081543203415,0.9789362834203793,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,11,0.9489042067378554,0.0005407379730518101,0.9745347261112466,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,12,0.9505537206872985,0.00037402027708385524,0.965943124439455,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,13,0.9425001967057666,0.0007782677735244999,0.9784053227783822,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,14,0.9507954938088667,0.00041610674699423385,0.9688493213548683,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,15,0.9451250475715844,0.001198104298150556,0.9873929825757582,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,16,0.9480345935450835,0.0007292469540266585,0.9810011477129045,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,17,0.948672064917848,0.0006755683387269711,0.9796508361627588,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,18,0.9489163358148535,0.00040212125019015047,0.9658176752526935,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,19,0.9444536544259746,0.0005685469624147028,0.9720085741255583,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.0,0.7,20,0.9487011299393662,0.0005784874295434021,0.9766959202722755,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.025,0.3,1,0.9897119823760521,2.061090999498057e-5,0.9713300163261286,0.6993591612537549,0.022595276581652047,0.0,0.0
0.025,0.3,2,0.9896429146529507,2.5731063502001873e-5,0.9763571058905163,0.6999088336418977,0.023345641333674658,0.0,0.0
0.025,0.3,3,0.9902731437523327,2.0819152588147113e-5,0.9737639519132671,0.6992701180311397,0.024283122056452732,0.0,0.0
0.025,0.3,4,0.9902242680489686,3.021752083652637e-5,0.9825315386621484,0.7010275763815789,0.023680306907567762,0.0,0.0
0.025,0.3,5,0.9901928649434999,2.52814194214253e-5,0.9783570313044717,0.7020250980533814,0.026549766032998717,0.0,0.0
0.025,0.3,6,0.991803529359834,1.9325945308999077e-5,0.9787906714858194,0.701032957702552,0.026108059680629528,0.0,0.0
0.025,0.3,7,0.988659055524122,4.6527466735404486e-5,0.9852959362769897,0.7006036850563988,0.024102816263326842,0.0,0.0
0.025,0.3,8,0.988968888302556,2.21987454972838e-5,0.970481460811642,0.7027375974469693,0.025124185208490565,0.0,0.0
0.025,0.3,9,0.9897455595766388,2.3369145523668683e-5,0.9744476772695257,0.7001185906710635,0.026138891197340343,0.0,0.0
0.025,0.3,10,0.9907068159956073,1.8935166459222753e-5,0.9732538962727151,0.6982576535096884,0.023601779916804278,0.0,0.0
0.025,0.3,11,0.9913506565448811,1.706961055242628e-5,0.973944328810018,0.6974382838334847,0.025775085850569864,0.0,0.0
0.025,0.3,12,0.9908049581543095,1.81097928478897e-5,0.9722614543545279,0.7016850644083502,0.026614398033094337,0.0,0.0
0.025,0.3,13,0.9911260986456161,1.5351245988852584e-5,0.968521493128389,0.6977429542775918,0.02593347332544299,0.0,0.0
0.025,0.3,14,0.989741688196726,4.8431751003811606e-5,0.9879577023271813,0.6999694915906032,0.023801511759228657,0.0,0.0
0.025,0.3,15,0.9901438792323235,1.6694981852574308e-5,0.9667236911653936,0.7032986530331361,0.02487129242710539,0.0,0.0
0.025,0.3,16,0.991542520051121,1.7866550256616196e-5,0.9755742969480411,0.7011739874657761,0.02397093529394519,0.0,0.0
0.025,0.3,17,0.9912969827840238,1.1472598804622669e-5,0.9599237325641791,0.7024590632389525,0.028175187234155925,0.0,0.0
0.025,0.3,18,0.9906754198877226,1.8103622114264874e-5,0.9718956712206052,0.7024557790077849,0.02425691406591262,0.0,0.0
0.025,0.3,19,0.9899902437220077,2.216928103330927e-5,0.9738062872544612,0.7019214868366679,0.022455057154993397,0.0,0.0
0.025,0.3,20,0.9903938970978241,1.9790549869791696e-5,0.9730991077305292,0.6984648249032359,0.024687334437152215,0.0,0.0
0.025,0.5,1,0.9768735307908707,7.81464840801107e-5,0.9594605133463403,0.6993591612537549,0.022595276581652047,0.0,0.0
0.025,0.5,2,0.9741649790260902,0.0001465037215776176,0.9744690661023571,0.6999088336418977,0.023345641333674658,0.0,0.0
0.025,0.5,3,0.9726909705055568,0.00023465789732197092,0.9829263641390696,0.6992701180311397,0.024283122056452732,0.0,0.0
0.025,0.5,4,0.9750671058521504,0.0001615361977067378,0.9781925661956765,0.7010275763815789,0.023680306907567762,0.0,0.0
0.025,0.5,5,0.9751552466237274,8.5225115179779e-5,0.9572573133570138,0.7020250980533814,0.026549766032998717,0.0,0.0
0.025,0.5,6,0.9740493299584191,0.0001297483985336699,0.9719374225165982,0.701032957702552,0.026108059680629528,0.0,0.0
0.025,0.5,7,0.9728376964581363,0.00014846284679229183,0.9731385125187388,0.7006036850563988,0.024102816263326842,0.0,0.0
0.025,0.5,8,0.9711842932977798,0.00035440515708663636,0.9874824142523335,0.7027375974469693,0.025124185208490565,0.0,0.0
0.025,0.5,9,0.9729307959539775,0.00012033059207870142,0.9671058882090486,0.7001185906710635,0.026138891197340343,0.0,0.0
