sigma,seed,step,phi
0.25,1,11051,0.9652773958525487
0.25,1,11101,0.9661273882955217
0.25,1,11151,0.9610106901366199
0.25,1,11201,0.9571593594762794
0.25,1,11251,0.9695057315180412
0.25,1,11301,0.9680374028532258
0.25,1,11351,0.9563372530098248
0.25,1,11401,0.9662607022054717
0.25,1,11451,0.9490236225879881
0.25,1,11501,0.960813592873781
0.25,1,11551,0.9619303436205807
0.25,1,11601,0.94563111630293
0.25,1,11651,0.9750146780850685
0.25,1,11701,0.9538899374103856
0.25,1,11751,0.9715506662599104
0.25,1,11801,0.9438518314583434
0.25,1,11851,0.9263063745944318
0.25,1,11901,0.884947792754827
0.25,1,11951,0.9424716415247727
0.25,1,12001,0.9203028530310349
0.25,1,12051,0.9554811556127859
0.25,1,12101,0.9380325641439499
0.25,1,12151,0.9660750192669971
0.25,1,12201,0.9538710845356247
0.25,1,12251,0.9748518595100721
0.25,1,12301,0.9578671549713369
0.25,1,12351,0.8851810443544561
0.25,1,12401,0.9268712190589505
0.25,1,12451,0.9532309794252083
0.25,1,12501,0.9741624138587779
0.25,1,12551,0.9819549290970726
0.25,1,12601,0.9788809016477793
0.25,1,12651,0.9813653854086093
0.25,1,12701,0.9811670756441232
0.25,1,12751,0.9769910205340758
0.25,1,12801,0.9694960414840812
0.25,1,12851,0.9271962296148313
0.25,1,12901,0.9568022212244516
0.25,1,12951,0.9767693147969116
0.25,1,13001,0.9774909062072437
0.25,1,13051,0.9678986670654256
0.25,1,13101,0.9707029905187928
0.25,1,13151,0.9466527376979371
0.25,1,13201,0.9758029938527527
0.25,1,13251,0.9744970608148127
0.25,1,13301,0.9704150104888979
0.25,1,13351,0.9815256335534142
0.25,1,13401,0.9591947964238665
0.25,1,13451,0.928018361706298
0.25,1,13501,0.9593107225592031
0.25,1,13551,0.9552115260727746
0.25,1,13601,0.9753386390125267
0.25,1,13651,0.9823108707361192
0.25,1,13701,0.9771838509932758
0.25,1,13751,0.9600076761343787
0.25,1,13801,0.9716897916325479
0.25,1,13851,0.9574604698599053
0.25,1,13901,0.9609398206387889
0.25,1,13951,0.9681919711662331
0.25,1,14001,0.9654431342204551
0.25,1,14051,0.9628584569202435
0.25,1,14101,0.9720527549472416
0.25,1,14151,0.9539605662067333
0.25,1,14201,0.926611751370193
0.25,1,14251,0.9167827026958039
0.25,1,14301,0.9245442690386658
0.25,1,14351,0.851647193605372
0.25,1,14401,0.9326797619435174
0.25,1,14451,0.9572520840363505
0.25,1,14501,0.9716718800544178
0.25,1,14551,0.9221853830623916
0.25,1,14601,0.8068517457568751
0.25,1,14651,0.9424893708276251
0.25,1,14701,0.9786279188316324
0.25,1,14751,0.9537835130009455
0.25,1,14801,0.935750906902133
0.25,1,14851,0.9069301807482267
0.25,1,14901,0.9706477927808924
0.25,1,14951,0.9568971124610752
0.25,1,15001,0.9724170614817071
0.25,1,15051,0.9793148133533878
0.25,1,15101,0.9775425830176501
0.25,1,15151,0.9750486733496682
0.25,1,15201,0.9823086524665532
0.25,1,15251,0.9752096158035919
