sigma,phi_short,phi_long,bias,max_drift,real_mean,real_std,frac_lo,frac_hi
0.0,0.9697665177488611,0.9723016123503804,0.0025350946015191833,0.0067491230534714175,0.6999999999999997,2.2260180681725107e-16,0.0,0.0
0.2,0.968742478257405,0.9676068728986322,-0.0011356053587728149,0.008722099590584675,0.6948520063598217,0.2050240862582667,0.021249999999999998,0.36624999999999996
0.3,0.9209042066097122,0.9227218297070482,0.0018176230973360324,0.0565060262444993,0.6989026914269542,0.3028661508031082,0.104375,0.516875
0.33,0.8556443096207201,0.8999836883660504,0.044339378745330185,0.14592437167831063,0.702723145259684,0.3277508303950838,0.12875,0.545625
0.35,0.7154587521816114,0.8498151605833276,0.13435640840171625,0.06060359737541865,0.710607521274351,0.34600886923019625,0.151875,0.583125
0.4,0.6277018382480938,0.7247734963220286,0.09707165807393486,0.12337991058396969,0.6961092535050288,0.4000287726853352,0.225,0.6199999999999999
