sigma,step,phi
0.0,4151,0.9791512014748798
0.0,4176,0.9775441046399896
0.0,4201,0.9831305802828844
0.0,4226,0.9725203832867778
0.0,4251,0.9556325068080583
0.0,4276,0.9834056527579572
0.0,4301,0.9811283794385925
0.0,4326,0.9839652436786925
0.0,4351,0.979003758694591
0.0,4376,0.9822494338133461
0.0,4401,0.9842357727385013
0.0,4426,0.985670651089834
0.0,4451,0.964195277864406
0.0,4476,0.9768870327837129
0.0,4501,0.9797309171067932
0.0,4526,0.976064073713592
0.0,4551,0.9792308427960924
0.0,4576,0.979290703381442
0.0,4601,0.9716119493591515
0.0,4626,0.9808404820210695
0.0,4651,0.9804570054868508
0.0,4676,0.983488652135962
0.0,4701,0.9732627468358883
0.0,4726,0.9614966394567062
0.0,4751,0.9639510341648466
0.0,4776,0.979318531062791
0.0,4801,0.9744528383419323
0.0,4826,0.9769009068629884
0.0,4851,0.9687382811433177
0.0,4876,0.9805044111868239
0.0,4901,0.9779347643532469
0.0,4926,0.9811498155660011
0.0,4951,0.9740102452229602
0.0,4976,0.9763544815489192
0.0,5001,0.9747897333584236
0.0,5026,0.9774922249790565
0.0,5051,0.9606787978527183
0.0,5076,0.9780617221019576
0.0,5101,0.9774520422431352
0.0,5126,0.9804416924412039
0.0,5151,0.9767452994678263
0.0,5176,0.9685432886528582
0.0,5201,0.9794158809084212
0.0,5226,0.9702736501562793
0.0,5251,0.9779286487429657
0.0,5276,0.9723693278993658
0.0,5301,0.980113499476082
0.0,5326,0.9717488715807252
0.0,5351,0.9783548042680718
0.0,5376,0.970620018625284
0.0,5401,0.9610427651311672
0.0,5426,0.9722183597748096
0.0,5451,0.9816953569453617
0.0,5476,0.9725567958620628
0.0,5501,0.9568507872706044
0.0,5526,0.9615293106233701
0.0,5551,0.9575113053767228
0.0,5576,0.9583816213044793
0.0,5601,0.9654201418499386
0.0,5626,0.9163806887902463
0.0,5651,0.9602996051982853
0.0,5676,0.9693399864962549
0.0,5701,0.9765600370274432
0.0,5726,0.9726511367159031
0.0,5751,0.9707476047958369
0.0,5776,0.9545751623741359
0.0,5801,0.9603965862188615
0.0,5826,0.9420190638011036
0.0,5851,0.9486604208974434
0.0,5876,0.9545785618791507
0.0,5901,0.9617605560862605
0.0,5926,0.9703144625416035
0.0,5951,0.9710170697392575
0.0,5976,0.9829661460975941
0.0,6001,0.9849777394351812
0.0,6026,0.9682350782520207
0.0,6051,0.9782038781149787
0.0,6076,0.9703327571770038
0.0,6101,0.9645829783215266
0.0,6126,0.9488842760486841
0.0,6151,0.9657661262066813
0.0,6176,0.9574712481952844
0.0,6201,0.9477848320139458
0.0,6226,0.9501576028937626
0.0,6251,0.9414122877650279
0.0,6276,0.9485104160923866
0.0,6301,0.9540898745478605
0.0,6326,0.950950290352986
0.0,6351,0.951091083447819
0.0,6376,0.9724276603327319
0.0,6401,0.978371411585678
0.0,6426,0.9870413930483839
0.0,6451,0.9808099006636303
0.0,6476,0.9779581020156825
0.0,6501,0.9807767826430597
0.0,6526,0.980017535763561
0.0,6551,0.9790805805754955
0.0,6576,0.9819815207804318
0.0,6601,0.9852186225402978
0.0,6626,0.9854978800759437
0.0,6651,0.9861805689774923
0.0,6676,0.9734103590615404
0.0,6701,0.9801765502660068
0.0,6726,0.9797265239301224
0.0,6751,0.981806615453714
0.0,6776,0.9780045464700597
0.0,6801,0.9729236713421244
0.0,6826,0.9763997260670385
0.0,6851,0.9772406007656825
0.0,6876,0.9721190679795444
0.0,6901,0.9751652866887077
0.0,6926,0.9797180515375442
0.0,6951,0.9770854796918775
0.0,6976,0.9733905016904157
0.0,7001,0.9830479448278417
0.0,7026,0.9838815353908258
0.0,7051,0.97456582446917
0.0,7076,0.984117894250153
0.0,7101,0.9741467733523129
0.0,7126,0.9778407150501778
0.0,7151,0.9787422446965459
0.0,7176,0.9761040924040546
0.0,7201,0.9797593533034072
0.0,7226,0.9772900908231245
0.0,7251,0.9687521964414928
0.0,7276,0.9640605210305276
0.0,7301,0.948514223003152
0.0,7326,0.9669301475269343
0.0,7351,0.9795676108594773
0.0,7376,0.973934690017521
0.0,7401,0.970417201778364
0.0,7426,0.9723409563314319
0.0,7451,0.9759789607378625
0.0,7476,0.9823772166674194
0.0,7501,0.9767384819277452
0.0,7526,0.9802110304109932
0.0,7551,0.978496884132498
0.0,7576,0.9804152227435329
0.0,7601,0.9691961126224607
0.0,7626,0.9579501483450085
0.0,7651,0.9695562201414872
0.0,7676,0.9763186265986203
0.0,7701,0.9794047625013276
0.0,7726,0.9717171451175532
0.0,7751,0.9767170813531421
0.0,7776,0.9825171931177723
0.0,7801,0.9722104216465364
0.0,7826,0.9742019707440484
0.0,7851,0.9583725582782429
0.0,7876,0.9750481665425137
0.0,7901,0.9728479885426449
0.0,7926,0.9799640649340297
0.0,7951,0.9675458109390416
0.0,7976,0.9742399392272283
0.0,8001,0.9796018904531555
0.0,8026,0.9794892854041757
0.0,8051,0.9643082904062755
0.0,8076,0.9814170234789915
0.0,8101,0.9782249843051217
0.0,8126,0.9497768377401178
0.0,8151,0.9466096799992944
0.0,8176,0.9649546316626472
0.0,8201,0.9832697229974162
0.0,8226,0.9821739864014418
0.0,8251,0.9847596095597135
0.0,8276,0.983675520580581
0.0,8301,0.9778485888308115
0.0,8326,0.9842217564269384
0.0,8351,0.9717469800360398
0.0,8376,0.9808434897975145
0.0,8401,0.9669466697579088
0.0,8426,0.9834462647199687
0.0,8451,0.9816259492383546
0.0,8476,0.9725883525425685
0.0,8501,0.9506232835946872
0.0,8526,0.9562922778097579
0.0,8551,0.957656185095556
0.0,8576,0.9777046505610398
0.0,8601,0.9793026408890513
0.0,8626,0.9665179167311942
0.0,8651,0.9808184729502966
0.0,8676,0.9716295410825777
0.0,8701,0.9767073801610758
0.0,8726,0.9805670678477414
0.0,8751,0.9789196421332249
0.0,8776,0.9821151108760967
0.0,8801,0.9590691965599464
0.0,8826,0.9779083271340502
0.0,8851,0.9840607534355508
0.0,8876,0.9571931435839864
0.0,8901,0.9823190091484509
0.0,8926,0.9823326554487386
0.0,8951,0.975330275006713
0.0,8976,0.9750731748724917
0.0,9001,0.9670572862134188
0.0,9026,0.9691868786970995
0.0,9051,0.9637801794103369
0.0,9076,0.9802244090062575
0.0,9101,0.9786817615150595
0.0,9126,0.9769173828633898
0.0,9151,0.972997150407955
0.0,9176,0.978595573022308
0.0,9201,0.9805241858519387
0.0,9226,0.9737804487182052
0.0,9251,0.9800064530140299
0.0,9276,0.9733112121644241
0.0,9301,0.9672164651620038
0.0,9326,0.9783530226498574
0.0,9351,0.9794193117415073
0.0,9376,0.9710289883732062
0.0,9401,0.9812870574982611
0.0,9426,0.9816140041354338
0.0,9451,0.9800736119917645
0.0,9476,0.9786463494832276
0.0,9501,0.9776808282898477
0.0,9526,0.9827093423627721
0.0,9551,0.9795284867586227
0.0,9576,0.9785851429350146
0.0,9601,0.9783083963349725
0.0,9626,0.9769181891860688
0.0,9651,0.97658544902986
0.0,9676,0.9757956233581369
0.0,9701,0.9780147127658054
0.0,9726,0.9783761314548235
0.0,9751,0.9688733878576964
0.0,9776,0.9708900318896114
0.0,9801,0.9614311493391079
0.0,9826,0.9614542340944628
0.0,9851,0.9834749554890401
0.0,9876,0.9663006238366855
0.0,9901,0.9808055618596088
0.0,9926,0.9783758996389416
0.0,9951,0.9688131777182009
0.0,9976,0.972573196510823
0.0,10001,0.9637157315437084
0.0,10026,0.9639182496595293
0.0,10051,0.9438108107670373
0.0,10076,0.9613949684050307
0.0,10101,0.9781688457904264
0.0,10126,0.9790115234619962
0.0,10151,0.9689191704433877
0.0,10176,0.9661189677244155
0.0,10201,0.9655711399655081
0.0,10226,0.9739835889694135
0.0,10251,0.9642219630359978
0.0,10276,0.9644875725655587
0.0,10301,0.9654148849136994
0.0,10326,0.9792514007557542
0.0,10351,0.9788446262250341
0.0,10376,0.9604838699184773
0.0,10401,0.9635569831922118
0.0,10426,0.9743059381727578
0.0,10451,0.9793629953351723
0.0,10476,0.9758934240786379
0.0,10501,0.9600557068390572
0.0,10526,0.9736084766092924
0.0,10551,0.9815173834535882
0.0,10576,0.9746018104966189
0.0,10601,0.9753815568536054
0.0,10626,0.9641631534266555
0.0,10651,0.9612649048193277
0.0,10676,0.9668250682520907
0.0,10701,0.9690657397683826
0.0,10726,0.9683389246813752
0.0,10751,0.9560722971169668
0.0,10776,0.9461870009345755
0.0,10801,0.9547747573934063
0.0,10826,0.9138979742709241
0.0,10851,0.9498912046484697
0.0,10876,0.9636949433718135
0.0,10901,0.9598854327679396
0.0,10926,0.9811511783580611
0.0,10951,0.9774727225166404
0.0,10976,0.9756326576065951
0.0,11001,0.9709644193725014
0.0,11026,0.9780700234873416
0.0,11051,0.9621066083153187
0.0,11076,0.9721298567990003
0.0,11101,0.9829906104918592
0.0,11126,0.980758142487245
0.0,11151,0.9758200547849308
0.0,11176,0.974396129761934
0.0,11201,0.9699283116005106
0.0,11226,0.9745005736595997
0.0,11251,0.982292197192777
0.0,11276,0.9759059669618805
0.0,11301,0.9643211588359109
0.0,11326,0.9543380387619103
0.0,11351,0.9549154506640293
0.0,11376,0.9534081375589327
0.0,11401,0.9500373384020833
0.0,11426,0.968353209176163
0.0,11451,0.9723733111862346
0.0,11476,0.9778519516561579
0.0,11501,0.968026779650666
0.0,11526,0.9753688931316132
0.0,11551,0.9734097282394218
0.0,11576,0.9751872375360964
0.0,11601,0.9704000259881547
0.0,11626,0.9717162352907047
0.0,11651,0.9745470839833498
0.0,11676,0.9810648207762528
0.0,11701,0.9737589657496103
0.0,11726,0.9606232526595739
0.0,11751,0.9760356231869844
0.0,11776,0.971881587902377
0.0,11801,0.982416635293815
0.0,11826,0.9755726584782063
0.0,11851,0.9802983325548554
0.0,11876,0.9782381010355461
0.0,11901,0.972685186220457
0.0,11926,0.971845630815182
0.0,11951,0.9529493361783072
0.0,11976,0.9580528380880109
0.0,12001,0.9732570781389196
0.0,12026,0.9490203427298441
0.0,12051,0.9604667039895928
0.0,12076,0.9804166597713017
0.0,12101,0.9727811075539952
0.0,12126,0.9796504753588916
0.0,12151,0.9754167436446641
0.0,12176,0.969672230598694
0.0,12201,0.9738735048526799
0.0,12226,0.983793652833326
0.0,12251,0.9829047873596216
0.0,12276,0.9824651107013224
0.0,12301,0.9824566396956611
0.0,12326,0.9844293574167728
0.0,12351,0.9755250024696183
0.0,12376,0.96954540120431
0.0,12401,0.9789312642273639
0.0,12426,0.973372647722244
0.0,12451,0.9857616645394446
0.0,12476,0.9722633601157203
0.0,12501,0.9783532394078732
0.0,12526,0.9603646131179936
0.0,12551,0.9549504377360092
0.0,12576,0.9740166165538301
0.0,12601,0.9668294544144844
0.0,12626,0.9555478500333245
0.0,12651,0.9718228015978464
0.0,12676,0.9689656951643304
0.0,12701,0.9745922740564152
0.0,12726,0.9737872044639383
0.0,12751,0.9613336358735619
0.0,12776,0.9772833770027576
0.0,12801,0.9677986834454549
0.0,12826,0.9725861497087334
0.0,12851,0.9643483852722264
0.0,12876,0.9513761910332704
0.0,12901,0.9641314611861839
0.0,12926,0.9543978577358598
0.0,12951,0.9771852454106751
0.0,12976,0.9663378209122802
0.0,13001,0.9714103706155386
0.0,13026,0.9656614629685984
0.0,13051,0.971325379045581
0.0,13076,0.9423735875928011
0.0,13101,0.9574811136495721
0.0,13126,0.9658664774359782
0.0,13151,0.9691153943741644
0.0,13176,0.9716902302320255
0.0,13201,0.9735751261463471
0.0,13226,0.9769070122205795
0.0,13251,0.9785732375783184
0.0,13276,0.9554841378186363
0.0,13301,0.9428655067241019
0.0,13326,0.9563182571459053
0.0,13351,0.9748044483538678
0.0,13376,0.9732318109190757
0.0,13401,0.9832250939084389
0.0,13426,0.9798894906382557
0.0,13451,0.9809131666628753
0.0,13476,0.9736906765838654
0.0,13501,0.9797013320609118
0.0,13526,0.9815890927962391
0.0,13551,0.9775470658051295
0.0,13576,0.9605316336428414
0.0,13601,0.9798467654266088
0.0,13626,0.978997203978512
