sigma,phi_Q3,phi_Q4,late_drift,seed_sd_Q4,min_Q4,max_Q4
0.25,0.9593237993245126,0.9591318087658701,0.00019199055864249637,0.008652567247489824,0.9447262128573208,0.9715026782827505
0.3,0.9234970733337682,0.9282729463660996,0.004775873032331401,0.019067163960894546,0.9050177881340553,0.9644600327910468
0.33,0.8921318750153553,0.8821484835919615,0.009983391423393773,0.02926253196017361,0.8270522143969365,0.9303047589328102
0.35,0.8445152748184016,0.8495874855221968,0.005072210703795155,0.02208519718418159,0.8256589887875797,0.890783099902543
0.4,0.7304793752468336,0.7343640753263391,0.0038847000795054765,0.04798051496976109,0.6673670097509723,0.8278479612889096
