N,noise,sigma_std,phi_mean,chi_temporal,chi_between,chi_pooled,binder,max_drift,failed_drift,n
200,0.5,0.45,0.5735187631987698,3.7808342544592755,0.38255532497814915,4.163389579437425,0.6112518282446548,0.1036135576727483,12,16
400,0.5,0.0,0.9789541729702158,0.014466686897790515,0.00012345841771363257,0.014590145315504148,0.666616673958332,0.0055039315775937,0,16
400,0.5,0.025,0.9794091483405991,0.012647067442964066,0.0003047993029560162,0.012951866745920082,0.6666222554667747,0.0023781182899834,0,16
400,0.5,0.05,0.9791760587873635,0.012130444842672894,0.0002134606844841975,0.012343905527157091,0.6666242822663759,0.0049678653439035,0,16
400,0.5,0.075,0.9785686992329435,0.013898682254995243,0.0002411299949598642,0.014139812249955107,0.6666180929594758,0.0028300631117409,0,16
400,0.5,0.1,0.9789834483963837,0.011692811835189998,0.0002793109753275352,0.011972122810517533,0.6666255083574528,0.0029154712522457,0,16
400,0.5,0.125,0.9782505336561318,0.012805067943374993,8.978216699571142e-05,0.012894850110370703,0.6666222346604453,0.0021390649214773,0,16
400,0.5,0.15,0.9776447089725755,0.01568430277764654,0.0002560412078032361,0.015940343985449777,0.6666118742874116,0.0030448690577999,0,16
400,0.5,0.175,0.9769201420923568,0.01584413295009912,0.000410905835624433,0.016255038785723555,0.6666106530207025,0.0038616942656881,0,16
400,0.5,0.2,0.9745509025626692,0.026474118384609002,0.000648101567267242,0.027122219951876244,0.6665733348164982,0.0051580610826564,0,16
400,0.5,0.225,0.9726282890531157,0.03480772259877862,0.001248128044040864,0.036055850642819486,0.6665427275934328,0.0046936502876833,0,16
400,0.5,0.25,0.9661396819941789,0.09679328768547879,0.007653120061219476,0.10444640774669826,0.6663141537122719,0.0116465922224217,0,16
400,0.5,0.275,0.9533530600512694,0.2638711963428797,0.00608332467352862,0.2699545210164083,0.6657575490670378,0.0151556473940319,0,16
400,0.5,0.3,0.936382648447607,0.5200674374296804,0.051407079948685694,0.5714745173783661,0.664768588451117,0.0309059124740406,1,16
400,0.5,0.325,0.9092106610464953,1.1100213980425933,0.05202056233030462,1.162041960372898,0.6628339640795404,0.0425963379912438,5,16
400,0.5,0.35,0.8730528118841345,1.9265342951050175,0.1586773233629844,2.085211618468002,0.6597991229034463,0.0960322595603739,8,16
400,0.5,0.375,0.8241254266281207,3.2104991697992995,0.21114047851958856,3.4216396483188882,0.6543668365566432,0.0543816438745494,9,16
400,0.5,0.4,0.7469072646006722,4.358125338007983,0.5197611776583747,4.877886515666358,0.6458205560230379,0.0827558243246255,8,16
400,0.5,0.425,0.6636986497304187,6.36348884293525,0.5141843238607268,6.877673166795977,0.6323566212427373,0.1137132429201889,10,16
400,0.5,0.45,0.5748578659504469,7.051712876332002,0.7579485277077271,7.809661404039729,0.6152052565778285,0.1082215250963652,14,16
800,0.5,0.0,0.9797184256086473,0.01501924530855625,0.0002988034587873938,0.015318048767343644,0.666640335559254,0.0037072920191082,0,16
800,0.5,0.025,0.9794585836411897,0.016322339497248928,0.00025122944685750424,0.016573568944106432,0.6666381457289476,0.0020626305949037,0,16
800,0.5,0.05,0.9790851145315913,0.01851719304374888,0.0003056861327139465,0.018822879176462828,0.6666342792249818,0.0017153512265438,0,16
800,0.5,0.075,0.9792140678534711,0.01578554567074897,0.0002940022271064678,0.016079547897855435,0.6666389345405292,0.0017672701912666,0,16
800,0.5,0.1,0.9790459453645981,0.016896039999053647,0.0003408666877483224,0.01723690668680197,0.6666369500257826,0.0035997346610324,0,16
800,0.5,0.125,0.9785399920988287,0.017896352915158786,0.00023097163739266974,0.018127324552551456,0.6666353911448473,0.0023972689297764,0,16
800,0.5,0.15,0.9781155816454384,0.016489397827401664,0.00025030069703146614,0.01673969852443313,0.6666377318345866,0.00229914911594,0,16
800,0.5,0.175,0.9774839985805085,0.01981321683534043,0.0009149058075081761,0.020728122642848606,0.6666308242902749,0.0031260499565941,0,16
800,0.5,0.2,0.9756211564827559,0.028769014368718038,0.0004254978174932758,0.029194512186211313,0.6666161778638103,0.0025781203416025,0,16
800,0.5,0.225,0.9723435155274622,0.05317135825607111,0.003010496346144606,0.05618185460221572,0.666569775341769,0.0037806149274749,0,16
800,0.5,0.25,0.9641692109263047,0.15458750676660138,0.015224156066890947,0.16981166283349233,0.6663731298457277,0.0097290045414747,0,16
800,0.5,0.275,0.9540237825691997,0.348693475690498,0.021443589218177423,0.37013706490867543,0.6660329283238697,0.0138161392307055,0,16
800,0.5,0.3,0.9285269033083385,0.9176220758070397,0.08810154393539789,1.0057236197424375,0.6649050380514212,0.0256836185829625,1,16
800,0.5,0.325,0.901894376027734,1.7215421581650459,0.08099354852817138,1.8025357066932173,0.6634445702644066,0.0446666799226068,6,16
800,0.5,0.35,0.8600604286036482,3.757359455843706,0.2578263142530284,4.015185770096735,0.6596825836667166,0.0439056472424117,6,16
800,0.5,0.375,0.805469426841827,6.071605305162486,0.43659125659244524,6.508196561754931,0.6541422658744585,0.1095247791991922,9,16
800,0.5,0.4,0.728425876430741,8.729389974137755,0.7733736959975482,9.502763670135304,0.6455134306671848,0.1287079641401965,12,16
800,0.5,0.425,0.6390148535392798,13.698845894111278,0.8951292462923054,14.593975140403582,0.6277067376037093,0.153880574072436,11,16
800,0.5,0.45,0.5457149632750968,14.35484001855873,1.5060632549442077,15.860903273502938,0.608841260162551,0.0970855788952371,13,16
1600,0.5,0.0,0.9831819700742274,0.0071005064888329805,4.220142815086598e-05,0.007142707916983846,0.666660526605561,0.000754736534713,0,16
