N,sigma_std,noise,seed,phi,phi2,phi4,ar1,drift,real_std
100,0.0,0.5,13,0.9496956742874314,0.9069001201808492,0.8336480767283386,0.9968665852619784,0.0251190074957866,0.0
100,0.1,0.5,10,0.9497639436962964,0.9060792871411965,0.8314025637083589,0.9964804940399136,0.0351038928638567,0.1037231808654781
100,0.175,0.5,11,0.9535517159025654,0.9108812528262066,0.8347406637820494,0.99120634926394,0.0278153319241392,0.1965686110184137
100,0.175,0.5,12,0.9586873438531408,0.920922600293293,0.8538558789011323,0.9929232326562758,0.0236243898188335,0.1655937594809176
100,0.2,0.5,11,0.9506750902353288,0.9056038474527374,0.8256958865652636,0.99138005257703,0.0208289215460887,0.2109805234303191
100,0.2,0.5,13,0.9527869289985552,0.91311881366878,0.8460893761677798,0.9972655773598432,0.0307234588876201,0.2038729271786256
100,0.2,0.5,16,0.9475124801240076,0.9004030558822654,0.8187202718395238,0.9940876893942096,0.0319147383638303,0.2082887279885522
100,0.225,0.5,8,0.9523745160475074,0.9096991251577708,0.8348443332300736,0.99419197512104,0.0237106269152982,0.2042675786437751
100,0.25,0.5,2,0.9314442881347204,0.8722335880052943,0.7727342198976931,0.9954009313875268,0.0282848326599833,0.2608406556762102
100,0.25,0.5,3,0.940559707875778,0.88824635889366,0.7986793414630605,0.9950834979622026,0.0319697435077042,0.238889863338459
100,0.25,0.5,6,0.9231527779038974,0.8564100430255461,0.7452818640069603,0.994199608264124,0.0236497663583835,0.2535722202434379
100,0.25,0.5,13,0.9285019471849068,0.8670727437404617,0.7650392255409532,0.9958455201795696,0.0203183791013206,0.2505767413482183
100,0.25,0.5,16,0.9347799646570129,0.878660411677699,0.7840808839843421,0.9962835150116638,0.0221097897411762,0.2611327722061317
100,0.275,0.5,1,0.9292694261836728,0.8672814297809913,0.7630942179821842,0.9947761809339424,0.0355312306671342,0.2678595615012152
100,0.275,0.5,3,0.9266148973739996,0.8658802475593819,0.7656691203770848,0.997188902972343,0.0585057021256019,0.2467309139280237
100,0.275,0.5,8,0.9180644234409582,0.8481302090431622,0.7341743702342843,0.994793465080088,0.0300058014685815,0.256769986931233
100,0.275,0.5,10,0.914464688097376,0.8416886691925755,0.723386401603895,0.9950254128271416,0.0284813610019478,0.2822200484448521
100,0.275,0.5,14,0.9077464257003104,0.8309786869711178,0.7086042609862109,0.9961505651300704,0.026433815972977,0.2881660024954777
100,0.3,0.5,4,0.8475689889417958,0.7329458754143332,0.5681368760248555,0.9971194688528544,0.0333449493367892,0.3247415465382076
100,0.3,0.5,6,0.8399587211138758,0.7204565042470973,0.549131742610413,0.997141823019779,0.0483873822556359,0.3370334215888177
100,0.3,0.5,7,0.8906643818205805,0.8035321142675388,0.6692681750276858,0.9970156810813852,0.0268293317794142,0.3028697686101498
100,0.3,0.5,8,0.907919215523812,0.8347312389529054,0.7193662573751571,0.9974072075626588,0.0323809679053087,0.2798077320051585
100,0.3,0.5,10,0.8835273167130919,0.7907353339855866,0.6479910999720159,0.9970634438134222,0.0562098263097061,0.3064635849695676
100,0.3,0.5,14,0.8906998050160181,0.8009233053746478,0.660329502563107,0.9952390271464782,0.029210030812618,0.3041804871295628
100,0.3,0.5,15,0.9055715715426732,0.8299692872272088,0.7111030323573632,0.9976724286950296,0.0378978960773438,0.2961622109708097
100,0.325,0.5,1,0.8857063536736416,0.7947612550067786,0.654623137588517,0.9967249413300842,0.0392792947751708,0.3266371153204673
100,0.325,0.5,3,0.8227146992562897,0.6932719595181954,0.5106263889495479,0.9971187270035288,0.055214193702771,0.3381502196100855
100,0.325,0.5,4,0.8369927665570034,0.7175648376024552,0.5473296923448615,0.997519224484515,0.0337256209445311,0.3250072768009492
100,0.325,0.5,5,0.8832193573799705,0.7901831907172635,0.6484316847767706,0.9967432476470626,0.025542700339138,0.3008397948325358
100,0.325,0.5,6,0.8375875381692768,0.715012297794497,0.5401903878285688,0.9967497001676596,0.0246256913802392,0.338256364139168
100,0.325,0.5,9,0.9151746780505344,0.8452244518092462,0.7323812711241391,0.9963059045762164,0.0278343916249502,0.2642302660218752
100,0.325,0.5,10,0.8492311609682794,0.7330015613913647,0.5622476771696802,0.9967710921911294,0.0253666722997226,0.321350619252978
100,0.325,0.5,12,0.8808526195652318,0.7882534077952122,0.6489006915823831,0.9971282904196708,0.0452616059340518,0.2883751548173591
100,0.325,0.5,15,0.8523303853621672,0.7441854329463115,0.5894474281861872,0.9975629493157854,0.0271447563630954,0.3045401692658661
100,0.325,0.5,16,0.85529917956212,0.7454402116011541,0.5861874603031089,0.9968234507542348,0.0608207374375705,0.3181023700945807
100,0.35,0.5,3,0.8111054379394027,0.6761439046845413,0.4932414079460237,0.9971413583613226,0.0388971546258933,0.3377644476094203
100,0.35,0.5,4,0.841807989565822,0.7266493730174454,0.5630499666645281,0.9975785083672069,0.0320653316157935,0.3076919487200458
100,0.35,0.5,6,0.8156074817211796,0.6794910534126325,0.487606449684919,0.9969831190813232,0.0237518419156271,0.3535678369936681
100,0.35,0.5,7,0.7801158557492885,0.6347825508171617,0.4456029450109446,0.9978087073004296,0.0615661999514117,0.3389604233869188
100,0.35,0.5,8,0.8335059500424199,0.7121111067190073,0.5413202494738886,0.9973629949874688,0.0556953587959476,0.3433481420202901
100,0.35,0.5,9,0.8534745949725259,0.7400842705831978,0.5748422139728196,0.9961486594440224,0.0523989983746602,0.3232050275183902
100,0.35,0.5,10,0.8053291835634434,0.670418795940786,0.4877572336717932,0.9979165131136714,0.0288659186926946,0.3497878794483983
100,0.35,0.5,13,0.8382485690138186,0.7183141673923751,0.5466352230876645,0.9974858666541524,0.0301808102399138,0.3327868562272717
100,0.35,0.5,14,0.8087846782320668,0.6739060744056478,0.4921836961759767,0.997729984320858,0.0596634465484247,0.365932419615895
100,0.35,0.5,16,0.8557105802145787,0.7474720137314302,0.5892852696768336,0.9972238145123532,0.0723470797961681,0.3309867000209903
100,0.375,0.5,4,0.7578602952292497,0.5907931267346495,0.3779278155684897,0.9967774538792744,0.0522123153954907,0.3619511514370671
100,0.375,0.5,5,0.7617550571961068,0.6007860204928048,0.3952426982120689,0.9971449821652756,0.0736081393023332,0.3739586846848203
100,0.375,0.5,6,0.8154338263347312,0.6790528789317639,0.4898417855862486,0.9965080139939948,0.0367871093452358,0.350779876712028
100,0.375,0.5,7,0.7886529069781236,0.6429042793185101,0.4504229896288686,0.9973504048154423,0.0603405002996226,0.3655127599000032
100,0.375,0.5,9,0.7981357621241066,0.65392481138664,0.4589734976164684,0.997215003127748,0.0330325686011578,0.3749251301568947
100,0.375,0.5,13,0.8465310838039517,0.7322436919616097,0.5696868510738176,0.996888671970642,0.0567021642037031,0.3079275839024645
100,0.375,0.5,14,0.7498667327419242,0.5836575172882525,0.376449000726005,0.9971497456848082,0.0336315928498643,0.3869400409445614
100,0.375,0.5,15,0.8179603244532162,0.6860945736563039,0.5041742503243463,0.9972419441873028,0.0562807103898215,0.3382079494694122
100,0.375,0.5,16,0.7415294657720655,0.5700877892135002,0.3569477305722386,0.9972420425276772,0.0318579989956491,0.3921580680705703
100,0.4,0.5,1,0.7333844398630557,0.5568518796690106,0.3396746090476708,0.9964308743047928,0.0273907774681899,0.3888309357809688
100,0.4,0.5,3,0.7105033065262103,0.5270345314533476,0.3124953238611233,0.9967774143329226,0.0817451275659862,0.3938997076713432
100,0.4,0.5,4,0.7020467267286294,0.5190030584865847,0.3060310048770218,0.9974146497351964,0.1037881177973005,0.4023667086572128
100,0.4,0.5,5,0.6924301375033359,0.5038872493973311,0.2891805728106065,0.997123275330689,0.1081778076922441,0.3934663978954398
100,0.4,0.5,6,0.7895186255902721,0.6364715227268918,0.43164053460832,0.9962723767804144,0.0271609563397889,0.3778846477278747
100,0.4,0.5,7,0.7244303777036987,0.5478657932691628,0.333230777817425,0.9973520058354368,0.0297860127058664,0.4030464780921884
100,0.4,0.5,8,0.6956344084613297,0.5044569532039597,0.2850979133121751,0.9968152253618844,0.0444572112627269,0.4024571856294555
100,0.4,0.5,9,0.7103896181940106,0.5310237157173778,0.3192499117164789,0.9975357772782412,0.08395048121224,0.4036936328905718
100,0.4,0.5,10,0.7489272514918434,0.5819359291887628,0.3709280706257739,0.997231788312591,0.0268226818112521,0.4030728805508872
100,0.4,0.5,12,0.639792799068774,0.4301210175901192,0.2104950387830228,0.99621454607443,0.0325025694610349,0.4317687919244627
100,0.4,0.5,13,0.6932380079564682,0.5075786593238341,0.2928572676194709,0.9973621079148614,0.0261062433044332,0.3949562877803571
100,0.4,0.5,14,0.7094863260492759,0.5268957393496593,0.3115659445929478,0.9976735419839418,0.0285258250125698,0.4116550345760167
100,0.4,0.5,15,0.7629123742861823,0.6060127396910582,0.4078709451901333,0.9973103614284056,0.0339353407338983,0.3555866085537587
100,0.425,0.5,1,0.6411172599142254,0.4368759988050867,0.2218915694141194,0.9964870405847784,0.0398622942202457,0.4261547381758959
100,0.425,0.5,2,0.57947144550552,0.365906882199785,0.1664445168109025,0.9965422002183224,0.0492080470483761,0.433368360847605
100,0.425,0.5,4,0.618342049197801,0.4075886926793985,0.1965740691066931,0.9962206619750886,0.075798189444981,0.4131291352443472
100,0.425,0.5,7,0.6293213738879746,0.4237401777439421,0.2115889450626547,0.996810001945923,0.0439152321720867,0.4295031401847049
100,0.425,0.5,8,0.6153122472534907,0.4046446042311543,0.1932219738918787,0.9966249231243134,0.0440168453685339,0.4305800058270949
100,0.425,0.5,9,0.6370942414714246,0.4269985823981564,0.2075573140285616,0.9964702319821498,0.1118511078326169,0.4426778629075647
100,0.425,0.5,10,0.6665765875161864,0.4608886074123413,0.234895414578539,0.9958368748589524,0.0839044477497993,0.4277612973528817
100,0.425,0.5,11,0.7220804026420823,0.5469800480586274,0.3362581879639593,0.9973895352047648,0.0760852337853901,0.3850832058197401
100,0.425,0.5,12,0.5859271963679106,0.3701172817376033,0.1649453280063894,0.9962350928789088,0.0602907389957424,0.4345960439629329
100,0.425,0.5,13,0.6599448980958879,0.4661261115935001,0.2560785238398465,0.997094653463768,0.0382070170635031,0.4019029592317438
100,0.425,0.5,14,0.6110074726904889,0.4002099240378435,0.1896517006580789,0.996671331130272,0.1045689141616459,0.4334714353578728
100,0.425,0.5,15,0.6799381674150762,0.4914302769857266,0.2788594287450597,0.99715450671049,0.02311111455268,0.3958616791166102
100,0.425,0.5,16,0.567202635938182,0.341527606723894,0.1362154841142343,0.9951948563313,0.0488779023187793,0.4573948430447987
100,0.45,0.5,1,0.4649492101150473,0.2401923743255153,0.0747763850685752,0.9948244051985186,0.0262253651781033,0.482803577965903
100,0.45,0.5,2,0.5179609448453952,0.2979960549799972,0.1141511501989655,0.9960167702628248,0.0977528145468278,0.4603386235528127
100,0.45,0.5,3,0.5754831053915123,0.3565262188323113,0.1526140103117209,0.9956786275481228,0.068541643411075,0.4343521243503542
100,0.45,0.5,4,0.5718914470974564,0.3445575392095512,0.1367333004625919,0.9952595930312635,0.0715173982198584,0.470449502223538
100,0.45,0.5,6,0.5895848594889219,0.3666757993326749,0.1537326164393888,0.9954122004196804,0.0889935090396367,0.4602160151548801
100,0.45,0.5,7,0.5663863744745318,0.3462628154042521,0.1443202561854922,0.9962719797828612,0.1242618251649204,0.4606706943348344
100,0.45,0.5,8,0.579986219048386,0.3562651812504404,0.1466356995465936,0.9950597556728747,0.0609278797017645,0.456870118180333
100,0.45,0.5,9,0.5891322965334798,0.3745227717755588,0.1686467498798504,0.9961960684550196,0.0234538979425821,0.4394659026345195
100,0.45,0.5,10,0.5406420426733707,0.3124044233338511,0.1161440992453729,0.9949608347881824,0.1048326364630271,0.4677936402929859
100,0.45,0.5,12,0.5659895100342974,0.3491458384040493,0.15207940639809,0.9959010634271628,0.0499034402889568,0.4264834567342518
100,0.45,0.5,13,0.6150491267863566,0.4016633592887288,0.1892585600943082,0.9958815802708432,0.1659390609206381,0.4272337230080526
100,0.45,0.5,14,0.5093892036514315,0.2807541075077648,0.0969817894496807,0.9945933537705908,0.0689913915261823,0.4691066315002483
100,0.45,0.5,15,0.608341450595245,0.395365169578845,0.1838868025428818,0.9961021902342648,0.048207948194351,0.4282226091989075
200,0.3,0.5,5,0.9362102782711584,0.8796643109319104,0.782199113346073,0.9966307535908198,0.0254079959568204,0.2920227374454144
200,0.3,0.5,8,0.921437700118489,0.8534305486610348,0.7402326834094718,0.9970488916808486,0.0323712037880231,0.2965326782869415
200,0.3,0.5,10,0.9179186521562172,0.8456525433611327,0.7243124844252145,0.9956107353202374,0.0263967791970051,0.2889262322285497
200,0.3,0.5,12,0.9170695261757512,0.8484322987797212,0.7346516856945756,0.9985149143449829,0.0275127315882313,0.3169371227324112
200,0.325,0.5,1,0.8826990789306793,0.7864992905247682,0.6352762273748696,0.9979340446303828,0.0412821137861172,0.3426926303266441
200,0.325,0.5,2,0.9265471652233976,0.8613598243269777,0.7500724666494705,0.9963237370147676,0.0289780149397568,0.3216516938929797
200,0.325,0.5,6,0.9043311586013176,0.8225929609701914,0.6890826565679549,0.9973404423605848,0.0359081766024089,0.3237508030253882
200,0.325,0.5,9,0.9179954777718862,0.8466254435089359,0.7276768575842876,0.9965087266500778,0.0232065142734548,0.282246048658913
200,0.325,0.5,12,0.8782440567248697,0.7793858367504336,0.6253882855658864,0.997788781813336,0.0618876745045281,0.324755317680914
200,0.325,0.5,14,0.8835404574588461,0.786595545618684,0.6312309998469614,0.9978503912870262,0.0480051754573969,0.3473437852548353
200,0.35,0.5,1,0.8633048750873924,0.759295716289651,0.6029321250449191,0.9985798310472216,0.0210584089018863,0.3330459146328067
200,0.35,0.5,3,0.8446011304018224,0.7219108571804499,0.5396261310117952,0.9976743380277974,0.0235735223986651,0.3646845054294735
