N,sigma_std,noise,seed,phi,phi2,phi4,ar1,drift,real_std
100,0.05,0.5,9,0.9593259149305621,0.9212328012895677,0.8518388348697273,0.9857327008929286,0.011171608809374511,0.05614291311565974
100,0.05,0.5,10,0.9623546696319961,0.9268796783253634,0.8617082039452293,0.9847300807641299,0.007502399004363336,0.0458963240490029
100,0.05,0.5,11,0.9610290142869655,0.9248910780247843,0.8596388096156148,0.9909994895789764,0.005073913729192747,0.05308968570683148
100,0.05,0.5,12,0.9598205405769972,0.9227372035346921,0.8561000008657378,0.9914274520258167,0.009850078775391236,0.05096963170603974
100,0.05,0.5,13,0.9630023106857658,0.9283368395624646,0.8650806239844345,0.9882385333314764,0.019405041308159343,0.04979457976211431
100,0.05,0.5,14,0.9565673651607948,0.9162297612614267,0.8434368222563206,0.9882092886364421,0.006817909521524279,0.05293185038710033
100,0.05,0.5,15,0.9637002117731764,0.9297479927790606,0.867853670549536,0.9896437009969891,0.007289173036310603,0.049824835705172335
100,0.05,0.5,16,0.9616358455702061,0.9262122710646127,0.8622196368814311,0.9916321919962113,0.007472368785145345,0.046841127638145054
100,0.075,0.5,1,0.9602912980879715,0.9230623573429643,0.8551569117765615,0.9872983690257299,0.001961354743583721,0.07733158863550967
100,0.075,0.5,2,0.9585386047925747,0.919515461308611,0.8480128347282353,0.9814940737049269,0.006586646501308913,0.07040372731368458
100,0.075,0.5,3,0.9572222731687052,0.9182623264038818,0.8491661423251484,0.9928956248035888,0.01547573861499063,0.06754734896537211
100,0.075,0.5,4,0.9600221912700548,0.9225808812092405,0.8543611038662173,0.9870480490002554,0.013001676454719613,0.07318073724611378
100,0.075,0.5,5,0.9523708897759933,0.9094714854581125,0.8333386789468171,0.9932950585140969,0.007494929490846847,0.07733760496696014
100,0.075,0.5,6,0.9568268859251186,0.9165092165032891,0.8433424798980316,0.9847864061914323,0.01618736349878036,0.0731430198920681
100,0.075,0.5,7,0.9554766516246335,0.9140806809024791,0.8393496941885922,0.9872793094016037,0.0055875340014606145,0.07714387838366915
100,0.075,0.5,8,0.9571403510137079,0.9170933356740608,0.8443714108873112,0.9857330336660659,0.015364618382115891,0.07754973251595342
100,0.075,0.5,9,0.9646680165294987,0.9314351330474712,0.8704652561108523,0.9878492012041876,0.003217239713554587,0.08505947881887736
100,0.075,0.5,10,0.9563904698248847,0.9159697954296545,0.8431839744815643,0.9891307154475161,0.0030401379067359624,0.07735438600241497
100,0.075,0.5,11,0.9605406580750842,0.9249334520749473,0.8619223823475488,0.9952268171504003,0.01218740768118165,0.08414454137164341
100,0.075,0.5,12,0.9547470037179886,0.9134599982273106,0.8401757776569572,0.9923797757986531,0.0024015068356850744,0.0763905303350592
