sigma,x,y,theta,w
0.0,1.520126149124869,5.493028431611637,-0.9241366582295165,0.7
0.0,13.441042828588994,1.5736297610912688,-0.312668840802858,0.7
0.0,7.026358450539484,7.584415209671462,-0.7836867540114995,0.7
0.0,11.590174336685106,19.2112298018484,-0.19381568798648932,0.7
0.0,19.553121560522406,7.0012718879753555,-0.6001781332151367,0.7
0.0,13.0566299636799,15.20323794121442,-0.6930148296356118,0.7
0.0,12.72470460302301,16.968169888635668,-0.3783312888845424,0.7
0.0,3.80747157566365,6.232668814301194,-0.7723839104360394,0.7
0.0,11.614698791332877,13.47585241524008,-0.2830080055420715,0.7
0.0,14.682593280949868,12.606512536897455,-0.6702935580705618,0.7
0.0,11.61033893422026,5.24924672132369,-0.41057806534756824,0.7
0.0,4.214388070269213,5.4474911794381935,-0.7249225511900721,0.7
0.0,18.564140555110736,8.0761345126548,-0.4715801173108062,0.7
0.0,4.67573109232918,6.863588694980996,-0.6953355890659336,0.7
0.0,11.127802026233953,0.9012238998762108,-0.11622176638197335,0.7
0.0,11.407040640830557,17.814057924963038,-0.238068932131729,0.7
0.0,5.9225432955026,7.412456144299125,-0.7715323632838008,0.7
0.0,12.87383615055564,11.64326789473352,-0.6789769376559625,0.7
0.0,11.013820242285822,4.5017850968536255,-0.6593239688572956,0.7
0.0,13.54859807062972,19.83634146622473,-0.23553649569329843,0.7
0.0,7.458183726071192,4.058860593898302,-0.5435364985222637,0.7
0.0,8.14013086134525,5.361814166973466,-0.7459213863562466,0.7
0.0,14.658117591990472,12.475769605379346,-0.6587867676126098,0.7
0.0,16.84562975228822,2.3349077031568686,0.10397958079050777,0.7
0.0,6.048217089186802,6.7260079376189355,-0.4952962000819685,0.7
0.0,13.993572927151897,17.6155795311576,-0.04087134501134135,0.7
0.0,4.148749584984379,8.038843682350505,-0.6317278010626657,0.7
0.0,14.103059939054784,11.02068897896989,-0.7462004176233408,0.7
0.0,0.006589942456059816,15.145074592865173,-0.39860003091609875,0.7
0.0,15.54588721259631,19.446141777543303,0.0965575035414072,0.7
0.0,12.20596019722667,16.907399483333684,-0.3879836791323517,0.7
0.0,11.33549188575757,1.346626253416463,-0.12014337524031538,0.7
0.0,10.895122606035152,0.37423896672072504,-0.40044894583660595,0.7
0.0,17.550144978490824,15.582700143511902,-0.595348152671548,0.7
0.0,14.408145856328607,19.64491841744554,-0.03264101059830049,0.7
0.0,13.512397096110336,2.2425831113765704,-0.3628006956632808,0.7
0.0,19.34723911080653,11.778413535765464,-0.30877267200394065,0.7
0.0,10.687181573342194,19.286868480014963,0.07167617177953145,0.7
0.0,4.075400287098879,3.3228470852839043,-0.6988598659831657,0.7
0.0,17.382574161321134,18.511712163419926,-0.25030730764126846,0.7
0.0,5.433810079820354,4.899520300369902,-0.7619095698001569,0.7
0.0,9.676672972773906,2.1713329946699034,-0.5271574962678294,0.7
0.0,5.1568258916415495,6.228691917165055,-0.5613357486826418,0.7
0.0,9.634907449957714,14.690618143750985,-0.1371945293131424,0.7
0.0,18.878745618024833,11.240297580765004,-0.5272122246058584,0.7
0.0,11.453446357155958,18.12410792204417,-0.13027187106115654,0.7
0.0,5.719940063471353,6.419617300972232,-0.5854526105908233,0.7
0.0,14.091334647813994,19.607637383048246,-0.30936885072195613,0.7
0.0,10.70879340203533,0.15682058315981914,-0.36150013031970807,0.7
0.0,13.17731869851449,19.628008167894055,-0.33150240755044247,0.7
0.0,14.427026959046016,12.152552272150666,-0.7396766822503247,0.7
0.0,7.544010420852058,12.110715758868391,-0.14170051874605064,0.7
0.0,14.659480781049497,18.517371008331054,0.04277745072300779,0.7
0.0,18.514947713271443,10.939113249390036,-0.38359740684400334,0.7
0.0,7.934400650160849,1.3741565718275985,-0.49402599555745796,0.7
0.0,13.36102744195997,2.1224636706287128,-0.6028329555031727,0.7
0.0,14.944012653460371,11.122153431351448,-0.8569186685153506,0.7
0.0,12.735906529361555,14.755777529364938,-0.4080560762648673,0.7
0.0,12.982791044744667,16.743701978638633,-0.22650337527593017,0.7
0.0,14.507193097808,13.179060478948957,-0.487394046031852,0.7
0.0,15.833468516018696,12.2159782926538,-0.6037226099266952,0.7
0.0,8.343324730290137,6.9840050512922796,-0.8724188974298694,0.7
0.0,11.888249069344623,3.7321702364875424,-0.21010646780964742,0.7
0.0,14.581880891557613,0.8596124422439423,-0.1253072065415899,0.7
0.0,14.499333298261215,18.087111053024103,-0.09888591321055337,0.7
0.0,15.669339502945105,15.952775693325096,-0.6818203992221863,0.7
0.0,9.73923306774462,2.4606177162090943,-0.4876159244084653,0.7
0.0,16.0824099750936,12.423752878233932,-0.7889643800231211,0.7
0.0,7.126576351673899,6.603838838250564,-0.6161858009335617,0.7
0.0,15.637790275132144,14.14774059904989,-0.6758470801816592,0.7
0.0,11.97210732567698,16.80133090675011,-0.3327467560101071,0.7
0.0,10.882362735023733,14.454067148297485,-0.43161892923836415,0.7
0.0,19.0657881914615,11.198957944355751,-0.4949081366153581,0.7
0.0,6.9954717242761575,7.686956809811879,-0.8584962101404091,0.7
0.0,13.692972961390579,15.4624696016791,-0.493197392477593,0.7
0.0,13.519406673972856,14.263983296589721,-0.6751283900681171,0.7
0.0,17.42959272533337,13.09055010592364,-0.6916468116110428,0.7
0.0,15.040098630336654,1.9930265104322462,0.012464350432113969,0.7
